"Date ","Closing Price ","Open ","Daily High ","Daily Low "
"9/5/2014 ",10080,10080,10080,10080
"9/4/2014 ",10190,10230,10290,10180
"9/3/2014 ",10241,10061,10291,10061
"9/2/2014 ",10041,10281,10281,10030
"9/1/2014 ",10260,,10321,10260
"8/29/2014 ",10311,10311,10311,10311
"8/28/2014 ",10251,10260,10310,10231
"8/27/2014 ",10270,10260,10301,10211
"8/26/2014 ",10251,10271,10331,10241
"8/25/2014 ",10271,10191,10281,10191
"8/22/2014 ",10230,10230,10230,10230
"8/21/2014 ",10270,10211,10270,10130
"8/20/2014 ",10220,10151,10230,10150
"8/19/2014 ",10161,10170,10201,10111
"8/18/2014 ",10171,10291,10291,10120
"8/15/2014 ",10320,10320,10320,10320
"8/14/2014 ",10211,10461,10501,10210
"8/13/2014 ",10481,10370,10510,10330
"8/12/2014 ",10391,10531,10531,10371
"8/11/2014 ",10461,10511,10531,10451
"8/8/2014 ",10481,10481,10481,10481
"8/7/2014 ",10581,10481,10590,10421
"8/6/2014 ",10480,10491,10531,10460
"8/5/2014 ",10461,10540,10561,10431
"8/4/2014 ",10561,10500,10561,10461
"8/1/2014 ",10441,10441,10441,10441
"7/31/2014 ",10591,10600,10650,10550
"7/30/2014 ",10601,10741,10781,10601
"7/29/2014 ",10761,10761,10801,10720
"7/28/2014 ",10761,10801,10811,10710
"7/25/2014 ",10831,10831,10831,10831
"7/24/2014 ",10720,10811,10811,10690
"7/23/2014 ",10821,10741,10821,10710
"7/22/2014 ",10741,10760,10840,10730
"7/21/2014 ",10771,10701,10780,10680
"7/18/2014 ",10700,10700,10701,10700
"7/17/2014 ",10790,10720,10811,10691
"7/16/2014 ",10711,10691,10781,10691
"7/15/2014 ",10671,10761,10761,10570
"7/14/2014 ",10681,10681,10731,10630
"7/11/2014 ",10650,10650,10650,10650
"7/10/2014 ",10871,10810,10891,10781
"7/9/2014 ",10841,10881,10901,10810
"7/8/2014 ",10900,11011,11021,10880
"7/7/2014 ",11001,11071,11091,11001
"7/4/2014 ",11060,11060,11060,11060
"7/3/2014 ",11111,11091,11111,11060
"7/2/2014 ",11101,11221,11241,11100
"7/1/2014 ",11220,11240,11271,11191
"6/30/2014 ",11241,11310,11310,11221
"6/27/2014 ",11321,11321,11321,11321
"6/26/2014 ",11301,11401,11410,11301
"6/25/2014 ",11420,11400,11421,11340
"6/24/2014 ",11440,11381,11471,11361
"6/23/2014 ",11401,11510,11551,11381
"6/20/2014 ",11471,11471,11471,11471
"6/19/2014 ",11501,11430,11561,11430
"6/18/2014 ",11421,11330,11451,11311
"6/17/2014 ",11341,11290,11381,11220
"6/16/2014 ",11291,11291,11321,11240
"6/13/2014 ",11251,11251,11251,11251
"6/12/2014 ",11261,10961,11261,10961
"6/11/2014 ",10950,10891,10961,10891
"6/10/2014 ",10971,11010,11031,10891
"6/9/2014 ",10991,10861,11010,10861
"6/6/2014 ",10881,10881,10881,10881
"6/5/2014 ",10891,10821,10891,10780
"6/4/2014 ",10831,10891,10951,10831
"6/3/2014 ",10881,10891,10901,10840
"6/2/2014 ",10880,10961,10981,10870
"5/30/2014 ",10951,10951,10951,10951
"5/29/2014 ",11011,10990,11041,10980
"5/28/2014 ",10980,11041,11041,10941
"5/27/2014 ",11011,11051,11081,10980
"5/26/2014 ",11041,11030,11051,10980
"5/23/2014 ",11061,11061,11061,11061
"5/22/2014 ",11051,11050,11091,11020
"5/21/2014 ",11040,10981,11071,10970
"5/20/2014 ",10971,10950,10991,10911
"5/19/2014 ",10931,10990,11030,10930
"5/16/2014 ",10980,10980,10980,10980
"5/15/2014 ",10901,10930,10951,10891
"5/14/2014 ",10931,10881,10951,10871
"5/13/2014 ",10871,10791,10871,10750
"5/12/2014 ",10841,10821,10871,10811
"5/9/2014 ",10791,10791,10791,10791
"5/8/2014 ",10801,10800,10811,10751
"5/7/2014 ",10821,10731,10821,10701
"5/6/2014 ",10701,10761,10821,10700
"5/5/2014 ",10761,10851,10890,10710
"5/2/2014 ",10850,10850,10850,10850
"5/1/2014 ",10781,10800,10811,10691
"4/30/2014 ",10820,10871,10871,10771
"4/29/2014 ",10891,10821,10931,10821
"4/28/2014 ",10821,10981,11011,10791
"4/25/2014 ",10940,10940,10981,10940
"4/24/2014 ",11041,10940,11051,10911
"4/23/2014 ",10910,10950,10951,10861
"4/22/2014 ",10930,10990,11000,10860
"4/21/2014 ",10990,10920,11000,10890
"4/18/2014 ",10980,10980,10980,10980
"4/17/2014 ",10971,10971,11021,10920
"4/16/2014 ",10960,10921,11021,10920
"4/15/2014 ",10931,10880,10961,10831
"4/14/2014 ",10890,10791,10911,10740
"4/11/2014 ",10721,10721,10721,10721
"4/10/2014 ",10740,10781,10781,10730
"4/9/2014 ",10790,10771,10801,10730
"4/8/2014 ",10771,10621,10771,10581
"4/7/2014 ",10591,10591,10651,10520
"4/4/2014 ",10670,10670,10670,10670
"4/3/2014 ",10630,10461,10630,10450
"4/2/2014 ",10471,10461,10481,10401
"4/1/2014 ",10551,10770,10771,10541
"3/31/2014 ",10780,,10831,10730
"3/28/2014 ",10801,10801,10801,10801
"3/27/2014 ",10770,10700,10781,10690
"3/26/2014 ",10691,10721,10731,10670
"3/25/2014 ",10690,10651,10741,10651
"3/24/2014 ",10661,10680,10751,10650
"3/21/2014 ",10701,10701,10701,10680
"3/20/2014 ",10611,10610,10661,10541
"3/19/2014 ",10591,10661,10681,10580
"3/18/2014 ",10651,10641,10680,10601
"3/17/2014 ",10620,10830,10830,10620
"3/14/2014 ",10821,10821,10821,10821
"3/13/2014 ",10680,10760,10761,10651
"3/12/2014 ",10820,10830,10841,10761
"3/11/2014 ",10830,10811,10861,10800
"3/10/2014 ",10791,10861,10861,10780
"3/7/2014 ",10881,10881,10881,10881
"3/6/2014 ",10851,10780,10851,10750
"3/5/2014 ",10780,10910,10921,10760
"3/4/2014 ",10911,11130,11130,10910
"3/3/2014 ",11080,11081,11231,11070
"2/28/2014 ",10891,10891,10891,10891
"2/27/2014 ",10900,10940,10950,10870
"2/26/2014 ",10941,10950,10991,10920
"2/25/2014 ",10950,11051,11051,10950
"2/24/2014 ",11060,11000,11080,10960
"2/21/2014 ",10971,10971,10971,10971
"2/20/2014 ",11030,11001,11041,10970
"2/19/2014 ",11050,11020,11081,11001
"2/18/2014 ",11050,10911,11051,10880
"2/17/2014 ",10911,10900,10931,10871
"2/14/2014 ",10901,10901,10901,10901
"2/13/2014 ",10861,10821,10871,10771
"2/12/2014 ",10821,10830,10891,10821
"2/11/2014 ",10880,10871,10921,10830
"2/10/2014 ",10881,10961,10961,10870
"2/7/2014 ",10941,10941,10961,10941
"2/6/2014 ",10731,10631,10731,10631
"2/5/2014 ",10620,10590,10631,10570
"2/4/2014 ",10581,10611,10611,10560
"2/3/2014 ",10570,10610,10671,10551
"1/31/2014 ",10651,10651,10651,10651
"1/30/2014 ",10791,10790,10831,10770
"1/29/2014 ",10781,10741,10791,10691
"1/28/2014 ",10751,10700,10771,10690
"1/27/2014 ",10711,10771,10781,10661
"1/24/2014 ",10801,10801,10801,10801
"1/23/2014 ",10740,10801,10821,10740
"1/22/2014 ",10831,10701,10831,10701
"1/21/2014 ",10690,10630,10801,10630
"1/20/2014 ",10661,10631,10661,10590
"1/17/2014 ",10631,10631,10631,10631
"1/16/2014 ",10601,10611,10631,10551
"1/15/2014 ",10631,10530,10671,10511
"1/14/2014 ",10630,10670,10711,10620
"1/13/2014 ",10660,10731,10741,10660
"1/10/2014 ",10731,10731,10731,10731
"1/9/2014 ",10640,10740,10811,10630
"1/8/2014 ",10730,10741,10771,10701
"1/7/2014 ",10741,10710,10761,10701
"1/6/2014 ",10681,10711,10791,10681
"1/3/2014 ",10691,10691,10691,10691
"1/2/2014 ",10831,11101,11131,10800
"1/1/2014 ",11091,11091,11101,11091
